epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8426,3.39483,5.90684,2.9003,0.36101,0.42226,0.25228,0.1041,2.19356,2.42327,1.8904,0.000663946,0.000663946,0.000663946
2,124.96,1.94802,1.45837,1.50145,0.79875,0.52779,0.61292,0.28667,1.87733,1.25187,1.45892,0.00131415,0.00131415,0.00131415
3,187.484,1.70286,1.17878,1.32589,0.77451,0.56178,0.64794,0.34384,1.63316,1.18249,1.30251,0.00194785,0.00194785,0.00194785
4,250.788,1.59246,1.0863,1.26397,0.8559,0.61973,0.72946,0.43005,1.37624,0.92866,1.19377,0.00192575,0.00192575,0.00192575
5,313.921,1.50378,0.99279,1.20859,0.79509,0.60434,0.69126,0.37562,1.54315,1.09778,1.25859,0.001901,0.001901,0.001901
6,377.974,1.44236,0.93566,1.17274,0.84439,0.66162,0.76554,0.44795,1.37291,0.88197,1.16306,0.00187625,0.00187625,0.00187625
7,441.196,1.41396,0.9268,1.16712,0.8258,0.66653,0.77122,0.48099,1.25457,0.83841,1.13082,0.0018515,0.0018515,0.0018515
8,504.133,1.35426,0.87897,1.13468,0.88305,0.66426,0.78294,0.50206,1.20633,0.80985,1.11227,0.00182675,0.00182675,0.00182675
9,567.383,1.35607,0.87126,1.13656,0.84598,0.68772,0.78362,0.49407,1.20564,0.79986,1.10884,0.001802,0.001802,0.001802
10,630.589,1.33076,0.86195,1.13016,0.87997,0.65691,0.77815,0.49781,1.2099,0.81412,1.11835,0.00177725,0.00177725,0.00177725
11,693.483,1.34078,0.85238,1.13222,0.84582,0.69967,0.79794,0.52299,1.13973,0.83919,1.08435,0.0017525,0.0017525,0.0017525
12,756.729,1.28586,0.81819,1.09896,0.87377,0.70786,0.8132,0.51799,1.17916,0.75134,1.10105,0.00172775,0.00172775,0.00172775
13,819.787,1.25757,0.80247,1.10093,0.85906,0.72381,0.80691,0.54072,1.09566,0.72307,1.07168,0.001703,0.001703,0.001703
14,882.875,1.2436,0.78349,1.08112,0.85485,0.65385,0.76297,0.46754,1.25682,0.83875,1.12578,0.00167825,0.00167825,0.00167825
15,945.707,1.23039,0.76978,1.08578,0.87472,0.71706,0.82102,0.53305,1.16689,0.72873,1.09962,0.0016535,0.0016535,0.0016535
16,1008.68,1.23648,0.79293,1.08694,0.87908,0.71195,0.8179,0.54674,1.11226,0.71811,1.07688,0.00162875,0.00162875,0.00162875
17,1072.43,1.21365,0.75863,1.08819,0.86115,0.70663,0.81407,0.51577,1.17046,0.70487,1.09373,0.001604,0.001604,0.001604
18,1135.83,1.23008,0.78045,1.08217,0.88293,0.70665,0.81094,0.53025,1.11242,0.71008,1.07199,0.00157925,0.00157925,0.00157925
19,1198.83,1.19188,0.75212,1.06916,0.82194,0.66776,0.75983,0.4672,1.23398,0.78754,1.11228,0.0015545,0.0015545,0.0015545
20,1262.15,1.19036,0.74641,1.07509,0.85056,0.66448,0.76627,0.50279,1.17449,0.89247,1.07768,0.00152975,0.00152975,0.00152975
21,1325.31,1.19721,0.74033,1.07085,0.88707,0.73241,0.83618,0.55308,1.11028,0.6644,1.07543,0.001505,0.001505,0.001505
22,1388.73,1.1469,0.69748,1.05705,0.88795,0.69714,0.80612,0.53652,1.10774,0.70386,1.05867,0.00148025,0.00148025,0.00148025
23,1452.08,1.17261,0.72499,1.06487,0.88256,0.69435,0.8074,0.51283,1.18506,0.71612,1.07907,0.0014555,0.0014555,0.0014555
24,1515.21,1.1765,0.71352,1.06025,0.8955,0.70949,0.82793,0.533,1.15138,0.69273,1.08136,0.00143075,0.00143075,0.00143075
25,1578.15,1.15254,0.71382,1.05455,0.86767,0.75491,0.84527,0.57161,1.06971,0.63639,1.05877,0.001406,0.001406,0.001406
26,1641.57,1.14751,0.69405,1.04875,0.87437,0.74325,0.84415,0.57199,1.0577,0.65371,1.03846,0.00138125,0.00138125,0.00138125
27,1704.86,1.14576,0.68693,1.04402,0.87648,0.73241,0.83271,0.56067,1.08929,0.68593,1.06518,0.0013565,0.0013565,0.0013565
28,1767.58,1.14768,0.69484,1.05365,0.89281,0.7327,0.83879,0.5585,1.09715,0.65347,1.07367,0.00133175,0.00133175,0.00133175
29,1831.13,1.13768,0.67072,1.04413,0.87341,0.74529,0.84043,0.57529,1.04487,0.64401,1.05081,0.001307,0.001307,0.001307
30,1894.35,1.13357,0.6851,1.05051,0.88366,0.72719,0.83543,0.55072,1.06947,0.6488,1.04311,0.00128225,0.00128225,0.00128225
