epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8069,3.39483,5.90684,2.9003,0.36101,0.42226,0.25228,0.1041,2.19356,2.42327,1.8904,0.000663946,0.000663946,0.000663946
2,118.69,1.93616,1.45063,1.49519,0.75328,0.52343,0.59869,0.27908,1.90675,1.41668,1.44526,0.00124279,0.00124279,0.00124279
3,178.343,1.69126,1.1784,1.31783,0.8342,0.58673,0.69088,0.39835,1.48994,1.12145,1.2465,0.00173364,0.00173364,0.00173364
4,238.977,1.57539,1.07456,1.26016,0.82166,0.6252,0.72146,0.41539,1.46211,0.98109,1.25094,0.001604,0.001604,0.001604
5,300.744,1.49714,0.98527,1.20906,0.83658,0.57079,0.66563,0.35087,1.60997,1.42775,1.25467,0.001472,0.001472,0.001472
6,370.607,1.43772,0.9793,1.22383,0.83931,0.63689,0.74382,0.44017,1.39738,0.93586,1.19242,0.00134,0.00134,0.00134
7,432.178,1.40793,0.92259,1.2144,0.86314,0.6709,0.77724,0.48693,1.25427,0.82783,1.15029,0.001208,0.001208,0.001208
8,494.154,1.36133,0.88258,1.18476,0.86753,0.67185,0.78416,0.48792,1.24574,0.80772,1.12884,0.001076,0.001076,0.001076
9,556.225,1.29285,0.84601,1.15796,0.87637,0.67578,0.78747,0.50035,1.22869,0.78284,1.12767,0.000944,0.000944,0.000944
10,618.329,1.25846,0.8116,1.1367,0.86995,0.69519,0.80482,0.50969,1.21453,0.7598,1.10985,0.000812,0.000812,0.000812
11,681.394,1.24218,0.79459,1.1304,0.86309,0.71318,0.81443,0.5369,1.13521,0.71856,1.08882,0.00068,0.00068,0.00068
12,744.004,1.20556,0.75838,1.11566,0.86724,0.69885,0.80865,0.51538,1.19492,0.72502,1.10226,0.000548,0.000548,0.000548
13,806.465,1.19913,0.74618,1.114,0.87413,0.71031,0.8151,0.51313,1.20139,0.72193,1.10584,0.000416,0.000416,0.000416
14,869.089,1.16306,0.71139,1.09898,0.88169,0.7288,0.82471,0.53411,1.15823,0.68151,1.08621,0.000284,0.000284,0.000284
15,931.932,1.13366,0.69984,1.08505,0.88178,0.72328,0.82719,0.55537,1.06709,0.66588,1.05946,0.000152,0.000152,0.000152
