epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.912,3.12088,4.85756,3.53775,0.46288,0.4198,0.36029,0.14489,2.12923,2.04356,2.54323,0.000663946,0.000663946,0.000663946
2,250.673,2.06559,1.98697,2.11336,0.65709,0.53273,0.5665,0.28261,1.7472,1.47293,1.97553,0.00131415,0.00131415,0.00131415
3,336.945,1.88584,1.60089,1.88195,0.79469,0.5536,0.6578,0.335,1.79294,1.5206,1.93452,0.00194785,0.00194785,0.00194785
4,740.545,1.71167,1.38714,1.73065,0.77744,0.61007,0.69813,0.3876,1.58713,1.28651,1.7414,0.00192575,0.00192575,0.00192575
5,837.857,1.63373,1.25659,1.62652,0.75578,0.57235,0.66008,0.37666,1.53049,1.38544,1.68213,0.001901,0.001901,0.001901
6,975.647,1.55763,1.16531,1.55606,0.86662,0.69067,0.79486,0.47679,1.43006,1.02273,1.61595,0.00187625,0.00187625,0.00187625
7,1077.84,1.52421,1.11996,1.5421,0.83702,0.68083,0.77592,0.45873,1.42125,1.07752,1.5975,0.0018515,0.0018515,0.0018515
8,1219.5,1.47682,1.05774,1.49831,0.85941,0.68532,0.798,0.50871,1.31343,0.96781,1.52967,0.00182675,0.00182675,0.00182675
9,1312.95,1.46329,1.04266,1.48995,0.85756,0.6964,0.78911,0.48005,1.32986,1.0283,1.51912,0.001802,0.001802,0.001802
10,1416.39,1.42825,1.02758,1.46528,0.85322,0.61743,0.73832,0.46366,1.29803,1.0301,1.51666,0.00177725,0.00177725,0.00177725
11,1501,1.43766,1.01163,1.46784,0.86609,0.72136,0.81928,0.53419,1.24456,0.94943,1.46764,0.0017525,0.0017525,0.0017525
12,1629.19,1.37584,0.95899,1.41321,0.88494,0.68903,0.80752,0.51543,1.25742,0.88735,1.4524,0.00172775,0.00172775,0.00172775
13,1704.55,1.35525,0.94814,1.41554,0.82865,0.70213,0.79929,0.5033,1.27861,0.88735,1.44181,0.001703,0.001703,0.001703
14,1798.96,1.34567,0.92422,1.38721,0.886,0.69926,0.81768,0.53109,1.22858,0.85451,1.43595,0.00167825,0.00167825,0.00167825
15,1880.26,1.32952,0.9051,1.3904,0.89325,0.72013,0.83317,0.54584,1.18226,0.82623,1.41452,0.0016535,0.0016535,0.0016535
16,1954.63,1.32755,0.91275,1.38516,0.88167,0.72054,0.82071,0.53838,1.18867,0.85598,1.41219,0.00162875,0.00162875,0.00162875
17,2032.71,1.30364,0.877,1.37813,0.88228,0.67769,0.802,0.50679,1.24301,0.87263,1.44639,0.001604,0.001604,0.001604
18,2111.89,1.32506,0.91016,1.37541,0.85547,0.67349,0.7795,0.48538,1.27289,0.98039,1.43305,0.00157925,0.00157925,0.00157925
19,2327.3,1.28506,0.87633,1.35438,0.86518,0.68658,0.80134,0.50517,1.25057,0.85259,1.42792,0.0015545,0.0015545,0.0015545
