epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1069,3.12088,4.85756,3.53775,0.46288,0.4198,0.36029,0.14489,2.12923,2.04356,2.54323,0.000663946,0.000663946,0.000663946
2,211.337,2.05851,1.98848,2.11538,0.61228,0.51064,0.54527,0.26031,1.84513,1.64588,2.04651,0.00124279,0.00124279,0.00124279
3,285.387,1.86143,1.57971,1.86016,0.78899,0.57829,0.67603,0.35091,1.76269,1.38998,1.90598,0.00173364,0.00173364,0.00173364
4,408.561,1.69308,1.37059,1.71117,0.78922,0.61434,0.71305,0.41359,1.46007,1.22986,1.6635,0.001604,0.001604,0.001604
5,494.328,1.62159,1.25528,1.61466,0.66133,0.46727,0.52609,0.27679,1.786,1.82164,1.84176,0.001472,0.001472,0.001472
6,634.321,1.56455,1.25061,1.65985,0.761,0.61743,0.70106,0.41389,1.4748,1.23993,1.64191,0.00134,0.00134,0.00134
7,708.372,1.54426,1.16228,1.64047,0.88202,0.68212,0.7962,0.49371,1.35229,1.02693,1.54979,0.001208,0.001208,0.001208
8,838.924,1.46756,1.10565,1.57876,0.85158,0.69255,0.79788,0.49052,1.33374,0.96106,1.51456,0.001076,0.001076,0.001076
9,920.759,1.39688,1.02831,1.52255,0.8741,0.7244,0.81753,0.5147,1.26441,0.89903,1.46485,0.000944,0.000944,0.000944
10,998.211,1.37949,0.98627,1.49598,0.88093,0.73404,0.84172,0.56333,1.16404,0.8483,1.40759,0.000812,0.000812,0.000812
11,1129.92,1.35416,0.95258,1.48424,0.87591,0.74591,0.84897,0.55713,1.20545,0.82854,1.43846,0.00068,0.00068,0.00068
12,1220.12,1.31151,0.90941,1.45067,0.89092,0.72463,0.83298,0.5173,1.32091,0.85058,1.47971,0.000548,0.000548,0.000548
13,1294.09,1.29383,0.88759,1.437,0.88504,0.70559,0.819,0.50266,1.34595,0.87206,1.49719,0.000416,0.000416,0.000416
14,1392.55,1.26868,0.86667,1.42036,0.88919,0.74207,0.85175,0.54811,1.21179,0.78592,1.40743,0.000284,0.000284,0.000284
15,1470.17,1.2297,0.83694,1.39178,0.90289,0.73043,0.84849,0.56991,1.12982,0.77485,1.36332,0.000152,0.000152,0.000152
