epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3435,3.40446,7.04438,2.88525,0.50976,0.42928,0.40428,0.16629,2.17111,2.36911,1.77332,0.000663946,0.000663946,0.000663946
2,73.6227,2.06108,1.74104,1.54825,0.75374,0.49467,0.5742,0.28521,1.86341,1.52656,1.4461,0.00131415,0.00131415,0.00131415
3,108.93,1.79623,1.32049,1.35995,0.80974,0.55606,0.65748,0.35634,1.64041,1.15058,1.34425,0.00194785,0.00194785,0.00194785
4,144.702,1.66504,1.17583,1.28812,0.84147,0.62643,0.71445,0.41479,1.42816,0.98776,1.22169,0.00192575,0.00192575,0.00192575
5,181.132,1.58146,1.07328,1.23526,0.8408,0.60724,0.7149,0.40744,1.46363,1.06106,1.22222,0.001901,0.001901,0.001901
6,217.98,1.52375,1.01584,1.19845,0.83536,0.6383,0.73266,0.41929,1.50523,0.97545,1.21895,0.00187625,0.00187625,0.00187625
7,254.96,1.5078,1.00767,1.19877,0.81702,0.65098,0.73938,0.44324,1.35109,0.92458,1.16353,0.0018515,0.0018515,0.0018515
8,292,1.44377,0.93836,1.16024,0.88778,0.66735,0.77683,0.46657,1.35985,0.85951,1.16623,0.00182675,0.00182675,0.00182675
9,328.874,1.41699,0.92197,1.15805,0.8585,0.65538,0.75363,0.47529,1.26641,0.81764,1.11998,0.001802,0.001802,0.001802
10,365.595,1.39372,0.91052,1.14729,0.85514,0.69926,0.80287,0.5047,1.24004,0.81695,1.11019,0.00177725,0.00177725,0.00177725
11,402.741,1.4002,0.90944,1.148,0.86513,0.68331,0.79301,0.51236,1.19611,0.81572,1.10514,0.0017525,0.0017525,0.0017525
12,439.967,1.34322,0.86704,1.11755,0.87321,0.71293,0.81214,0.4978,1.25352,0.77527,1.11861,0.00172775,0.00172775,0.00172775
13,476.79,1.32372,0.85032,1.12584,0.86083,0.68985,0.79401,0.51106,1.19472,0.78937,1.09029,0.001703,0.001703,0.001703
14,514.043,1.32863,0.83293,1.109,0.87862,0.70492,0.80929,0.50612,1.21157,0.78368,1.1028,0.00167825,0.00167825,0.00167825
15,551.169,1.27909,0.81115,1.10471,0.85356,0.73813,0.82234,0.53715,1.14121,0.73345,1.08251,0.0016535,0.0016535,0.0016535
16,588.693,1.29538,0.82892,1.10683,0.88828,0.71686,0.8277,0.54464,1.14113,0.72534,1.07521,0.00162875,0.00162875,0.00162875
17,626.026,1.28104,0.80216,1.11141,0.87372,0.70458,0.80848,0.51619,1.1859,0.73481,1.09647,0.001604,0.001604,0.001604
18,663.247,1.29587,0.82408,1.10683,0.85065,0.68863,0.78313,0.4907,1.21224,0.79555,1.09548,0.00157925,0.00157925,0.00157925
19,700.272,1.26141,0.79405,1.09484,0.85038,0.6874,0.78811,0.48132,1.27858,0.78568,1.11982,0.0015545,0.0015545,0.0015545
20,737.167,1.24231,0.78406,1.09318,0.85552,0.71481,0.80102,0.52703,1.15221,0.82663,1.06858,0.00152975,0.00152975,0.00152975
21,774.628,1.25643,0.77772,1.09321,0.87652,0.73895,0.82795,0.53878,1.15215,0.70007,1.08845,0.001505,0.001505,0.001505
22,811.84,1.21609,0.74308,1.08254,0.8623,0.73241,0.81873,0.5349,1.13386,0.73856,1.0734,0.00148025,0.00148025,0.00148025
23,849.095,1.2344,0.76148,1.09115,0.86891,0.73363,0.82763,0.55501,1.10135,0.68983,1.06129,0.0014555,0.0014555,0.0014555
24,886.465,1.23723,0.75923,1.08256,0.87867,0.70818,0.81288,0.48994,1.29196,0.74583,1.11342,0.00143075,0.00143075,0.00143075
25,923.886,1.21697,0.75119,1.08067,0.89498,0.7497,0.84438,0.56626,1.07802,0.66113,1.05983,0.001406,0.001406,0.001406
26,961.197,1.21223,0.73361,1.07463,0.87381,0.74799,0.83944,0.54524,1.14444,0.68833,1.06644,0.00138125,0.00138125,0.00138125
27,998.117,1.20032,0.72545,1.06155,0.88812,0.72095,0.82706,0.53388,1.15745,0.69976,1.07883,0.0013565,0.0013565,0.0013565
28,1034.93,1.20806,0.73672,1.07666,0.86867,0.7144,0.81518,0.5325,1.15003,0.70531,1.08315,0.00133175,0.00133175,0.00133175
29,1072.2,1.1887,0.70946,1.06241,0.89466,0.72284,0.83835,0.56698,1.09437,0.68778,1.0609,0.001307,0.001307,0.001307
30,1109.16,1.18881,0.7213,1.06985,0.87098,0.75573,0.84164,0.55863,1.09777,0.67098,1.05457,0.00128225,0.00128225,0.00128225
31,1145.9,1.17996,0.72498,1.07091,0.88084,0.76473,0.85247,0.56884,1.08848,0.65706,1.0559,0.0012575,0.0012575,0.0012575
32,1183.12,1.19961,0.72733,1.0609,0.85786,0.74264,0.82801,0.54578,1.12888,0.70096,1.0615,0.00123275,0.00123275,0.00123275
33,1220.55,1.18918,0.71514,1.06064,0.90393,0.76227,0.85686,0.57888,1.05085,0.64371,1.041,0.001208,0.001208,0.001208
34,1257.69,1.17446,0.71974,1.07025,0.87914,0.74304,0.8407,0.5571,1.10081,0.67371,1.05306,0.00118325,0.00118325,0.00118325
35,1294.76,1.16776,0.70972,1.05712,0.8885,0.73691,0.84193,0.55519,1.10617,0.66102,1.05325,0.0011585,0.0011585,0.0011585
36,1331.68,1.16457,0.70339,1.05816,0.88344,0.75777,0.85117,0.56772,1.08477,0.6441,1.05032,0.00113375,0.00113375,0.00113375
37,1369.02,1.16194,0.69531,1.0617,0.85834,0.7455,0.83371,0.56081,1.07168,0.66248,1.05457,0.001109,0.001109,0.001109
38,1406.19,1.15276,0.69974,1.0552,0.89562,0.74059,0.84446,0.55185,1.12793,0.65315,1.06269,0.00108425,0.00108425,0.00108425
