epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6921,3.40446,7.04438,2.88525,0.50976,0.42928,0.40428,0.16629,2.17111,2.36911,1.77332,0.000663946,0.000663946,0.000663946
2,70.196,2.053,1.74501,1.54729,0.77307,0.50982,0.59596,0.29997,1.75026,1.30574,1.42564,0.00126475,0.00126475,0.00126475
3,103.627,1.79348,1.31651,1.35896,0.78176,0.55237,0.6379,0.31646,1.82018,1.20035,1.36954,0.00179955,0.00179955,0.00179955
4,137.631,1.67029,1.19593,1.29661,0.80848,0.59902,0.68865,0.39469,1.49346,1.04512,1.25233,0.001703,0.001703,0.001703
5,172.804,1.59237,1.0841,1.24493,0.84262,0.62807,0.72732,0.43936,1.3689,1.03461,1.18578,0.001604,0.001604,0.001604
6,209.062,1.52561,1.01385,1.20034,0.8455,0.65162,0.74859,0.43188,1.4636,0.93137,1.20425,0.001505,0.001505,0.001505
7,246.379,1.51365,0.99177,1.20081,0.84781,0.64525,0.74966,0.4487,1.36644,0.89945,1.16978,0.001406,0.001406,0.001406
8,291.227,1.43898,0.92959,1.15945,0.87074,0.65873,0.76409,0.46361,1.34818,0.85335,1.16643,0.001307,0.001307,0.001307
9,344.834,1.4147,0.91175,1.15992,0.83724,0.66939,0.76859,0.46645,1.29413,0.83823,1.14783,0.001208,0.001208,0.001208
10,397.966,1.39172,0.90033,1.1497,0.86616,0.68535,0.79199,0.50225,1.24335,0.78881,1.12357,0.001109,0.001109,0.001109
11,459.642,1.3555,0.87753,1.16794,0.87434,0.69845,0.79607,0.512,1.18862,0.7884,1.102,0.00101,0.00101,0.00101
